sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id
593,Pra''ii Cracker,,5.6,7.4,20.9,61.3,4.8,1.5,463.0,43.7,69.2,5.0,,,,,,4
594,Paprika Cracker (Thai),,6.0,6.1,24.2,62.0,2.0,1.5,490.0,121.0,84.8,1.3,,,,,,4
595,Shrimp Cracker (Thai),,5.2,5.1,21.2,65.4,3.1,1.5,473.0,236.0,130.0,2.0,,,,,,4
596,Shrimp Cracker (Korea),,5.3,4.4,17.95,70.3,2.12,1.5,459.0,160.0,,,,,,,,4
597,Prawn Cracker raw (China),,13.2,2.5,0.26,81.1,2.9,1.5,337.0,65.0,22.0,5.1,,,,,,4
588,Cheese Ball Hello,,5.5,5.1,19.0,68.0,2.1,1.5,463.0,86.0,129.0,2.8,,,,,,4
599,Cheese Ball Hello (India),,5.6,4.8,20.0,68.0,1.43,1.5,471.0,113.0,,3.4,,,,,,4
600,Girni Short Macaroni (Nes),,6.6,8.2,0.21,84.5,0.48,1.5,373.0,17.8,75.0,2.1,,,,,,4
601,Bambion Macaroni (India),,11.3,5.6,0.19,82.5,0.46,1.5,354.0,26.2,77.0,0.6,,,,,,4
602,Ma Ma cut Macaroni (india),,12.4,9.3,0.2,75.0,3.4,1.5,339.0,8.3,,,,,,,,4
603,Rice vermiealli (Thai),,11.7,6.6,0.12,81.0,0.3,1.5,351.0,9.0,75.0,2.2,,,,,,4
604,Special Pasta,,11.4,4.0,0.5,84.0,0.48,1.5,354.0,10.6,73.0,3.9,,,,,,4
605,Vegetable Pasta,,11.4,6.1,1.45,81.0,0.47,1.5,361.0,34.0,87.0,0.3,,,,,,4
606,Pasta / (Enrico Nepal),,13.3,11.8,1.3,73.0,0.74,1.5,351.0,17.6,81.0,2.9,,,,,,4
607,Wai Wai,,1.8,7.68,20.0,66.4,3.92,0.15,476.0,87.0,120.0,4.4,,,,,,4
608,Aaha,,2.6,10.36,11.1,73.0,2.48,0.09,433.0,28.0,197.0,1.09,,,,,,4
609,New Ma Ma,,2.1,7.7,21.3,64.7,4.1,1.5,481.0,15.2,106.0,4.9,,,,,,4
610,Hits Noodle,,7.3,8.3,18.6,62.3,3.5,1.5,450.0,14.3,64.0,2.6,,,,,,4
611,Min Min,,3.9,7.7,18.1,67.0,3.4,1.5,462.0,29.7,110.0,3.5,,,,,,4
612,Fe Mee,,3.7,7.3,19.8,67.0,2.6,1.5,475.0,14.3,64.0,2.6,,,,,,4
613,Yom Yum (Snack Noodle),,2.6,7.3,18.6,68.0,3.5,1.5,469.0,29.7,98.0,0.9,,,,,,4
614,Yam Yam,,3.2,8.07,18.1,67.0,3.46,0.19,463.0,44.0,104.0,0.86,,,,,,4
615,Muesli,,5.9,10.06,5.6,75.0,1.1,2.07,390.0,220.0,21.0,1.0,,,,,,4
616,Protein supplement powder,,2.2,3.8,0.9,17.9,,1.5,129.0,717.0,,23.8,,,,,,0
617,High energy soya biscuit,,3.6,6.8,16.5,69.9,1.64,1.55,455.0,104.2,,,,,,,,4
618,High energy Khajuri biscuit,,1.4,8.4,22.8,64.6,1.5,1.5,497.0,,,,,,,,,4
619,Coffee with pulp,,12.0,7.83,1.13,66.5,4.9,7.63,307.0,,,,,,,,,4
620,Coffee without pulp,,12.4,7.0,1.08,73.2,4.7,1.7,330.0,,,,,,,,,4
621,Coffee powder refined,,3.9,13.42,15.41,61.4,5.8,1.5,438.0,,,,,,,,,4
622,Nutrimixed,,6.1,18.52,7.25,63.0,3.59,1.5,391.0,116.9,,,,49.38,,,,4
