sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c
431,"Channa, buffalo's milk",13.4,23.0,7.9,5.22,292.0,480.0,12.74,59.01
432,Butter,21.95,81.0,0.0,5.31,729.0,457.88,14.87,58.39
433,Ghee cow,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
434,Ghee (Buffalo),26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
435,Ghee vegetable,30.77,100.0,5.47,5.9,900.0,543.08,18.62,57.99
436,Vegetable cooking oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
437,Hydrogenated oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
438,Sunflower oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
439,Soya bean oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
440,Corn oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
441,Coconut oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
442,Cotton seed oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
443,Olive oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
444,Ground nut oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
445,Seasome oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
446,Linseed oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14
447,Areca nut,4.9,4.4,47.2,11.2,249.0,50.0,1.5,5.0
448,Betel leaves,3.1,0.8,6.1,2.3,44.0,230.0,7.0,59.4
449,"Biscuit, salty",6.6,32.4,54.6,3.61,534.0,129.39,7.93,58.71
450,"Biscuit, sweet",6.4,15.2,71.9,3.33,450.0,79.09,6.61,58.83
451,Brown bread,8.8,1.4,49.0,1.2,244.0,18.0,2.2,59.14
452,Bread white,7.8,0.7,51.9,0.2,245.0,11.0,1.1,59.14
453,Corn flakes,7.4,0.5,30.9,1.1,157.55,134.72,5.26,59.24
454,Canu sugar,0.1,0.0,99.4,0.0,398.0,2.44,3.9,58.92
455,Coconut tender,0.9,1.1,6.3,2.7,41.0,10.0,0.9,59.43
456,coconut water,1.4,0.1,4.4,0.0,24.0,24.0,0.1,2.0
457,Grounnut cake,40.9,7.4,38.8,3.2,386.0,213.0,8.46,58.91
458,Honey,0.3,0.0,79.5,2.9,319.0,5.0,0.9,4.0
459,jaggary white,3.7,0.1,85.2,3.21,357.0,63.0,7.2,58.96
460,Chaku,3.9,0.5,89.7,3.24,379.0,65.0,9.6,58.93
461,Dhatelo,27.5,30.4,29.9,2.7,504.0,384.27,12.51,58.72
462,Jack fruit seeds,6.6,0.4,25.8,1.5,133.0,50.0,1.5,11.0
463,Jaggary cane,0.4,0.1,95.0,3.33,383.0,80.0,11.4,0.0
464,Jandh,2.0,0.08,0.9,2.72,2.6,20.2,0.02,59.49
465,Mahuwa flowers,4.4,0.6,72.0,1.7,311.0,140.0,15.0,7.0
466,Malberry leaves powder,13.0,2.1,38.2,8.5,293.0,162.6,6.85,59.05
467,Papad,18.8,0.3,52.4,3.21,228.0,80.0,17.2,0.0
468,Pumpkin seed,24.3,47.2,15.6,0.2,584.0,50.0,5.5,1.0
469,Sugacane juice,0.1,0.2,9.1,2.7,39.0,10.0,1.1,59.44
